country,date,confirmed,deaths,recovered
Russia,"Apr 29, 2020 @ 00:00:00.000",93558,867,8456
Russia,"Apr 30, 2020 @ 00:00:00.000",99399,972,10286
Russia,"May 1, 2020 @ 00:00:00.000",106498,1073,11619
Russia,"May 2, 2020 @ 00:00:00.000",114431,1169,13220
Russia,"May 3, 2020 @ 00:00:00.000",124054,1222,15013
Russia,"May 4, 2020 @ 00:00:00.000",134687,1280,16639
Russia,"May 5, 2020 @ 00:00:00.000",145268,1356,18095
Russia,"May 6, 2020 @ 00:00:00.000",155370,1451,19865
Russia,"May 7, 2020 @ 00:00:00.000",165929,1537,21327
Russia,"May 8, 2020 @ 00:00:00.000",177160,1625,23803
Russia,"May 9, 2020 @ 00:00:00.000",187859,1723,26608
Russia,"May 10, 2020 @ 00:00:00.000",198676,1827,31916
Russia,"May 11, 2020 @ 00:00:00.000",209688,1915,34306
Russia,"May 12, 2020 @ 00:00:00.000",221344,2009,39801
Russia,"May 13, 2020 @ 00:00:00.000",232243,2116,43512
Russia,"May 14, 2020 @ 00:00:00.000",242271,2212,48003
Russia,"May 15, 2020 @ 00:00:00.000",252245,2305,53530
Russia,"May 16, 2020 @ 00:00:00.000",262843,2418,58226
Russia,"May 17, 2020 @ 00:00:00.000",272043,2537,63166
Russia,"May 18, 2020 @ 00:00:00.000",281752,2631,67373
Russia,"May 19, 2020 @ 00:00:00.000",290678,2722,70209
Russia,"May 20, 2020 @ 00:00:00.000",299941,2837,76130
Russia,"May 21, 2020 @ 00:00:00.000",308705,2972,85392
Russia,"May 22, 2020 @ 00:00:00.000",317554,3099,92681
Russia,"May 23, 2020 @ 00:00:00.000",326448,3249,99825
Russia,"May 24, 2020 @ 00:00:00.000",335882,3388,107936
Russia,"May 25, 2020 @ 00:00:00.000",344481,3541,113299
Russia,"May 26, 2020 @ 00:00:00.000",353427,3633,118798
Russia,"May 27, 2020 @ 00:00:00.000",362342,3807,131129
Russia,"May 28, 2020 @ 00:00:00.000",370680,3968,142208
Russia,"May 29, 2020 @ 00:00:00.000",379051,4142,150993
Russia,"May 30, 2020 @ 00:00:00.000",387623,4374,159257
Russia,"May 31, 2020 @ 00:00:00.000",396575,4555,167469
Russia,"Jun 1, 2020 @ 00:00:00.000",405843,4693,171883
Russia,"Jun 2, 2020 @ 00:00:00.000",414328,4849,175514
Russia,"Jun 3, 2020 @ 00:00:00.000",423186,5031,186602
Russia,"Jun 4, 2020 @ 00:00:00.000",431715,5208,195559
Russia,"Jun 5, 2020 @ 00:00:00.000",440538,5376,204197
Russia,"Jun 6, 2020 @ 00:00:00.000",449256,5520,212237
Russia,"Jun 7, 2020 @ 00:00:00.000",458102,5717,220935
Russia,"Jun 8, 2020 @ 00:00:00.000",467073,5851,226272
Russia,"Jun 9, 2020 @ 00:00:00.000",476043,5963,230226
Russia,"Jun 10, 2020 @ 00:00:00.000",484630,6134,241917
Russia,"Jun 11, 2020 @ 00:00:00.000",493023,6350,252295
Russia,"Jun 12, 2020 @ 00:00:00.000",501800,6522,260649
Russia,"Jun 13, 2020 @ 00:00:00.000",510761,6705,268862
Russia,"Jun 14, 2020 @ 00:00:00.000",519458,6819,274128
Russia,"Jun 15, 2020 @ 00:00:00.000",528267,6938,279536
Russia,"Jun 16, 2020 @ 00:00:00.000",536484,7081,284021
Russia,"Jun 17, 2020 @ 00:00:00.000",544725,7274,293780
Russia,"Jun 18, 2020 @ 00:00:00.000",552549,7468,303800
Russia,"Jun 19, 2020 @ 00:00:00.000",560321,7650,313409
Russia,"Jun 20, 2020 @ 00:00:00.000",568292,7831,323851
Russia,"Jun 21, 2020 @ 00:00:00.000",576162,7992,334024
Russia,"Jun 22, 2020 @ 00:00:00.000",583879,8101,339142
Russia,"Jun 23, 2020 @ 00:00:00.000",591465,8196,343847
Russia,"Jun 24, 2020 @ 00:00:00.000",598878,8349,355847
Russia,"Jun 25, 2020 @ 00:00:00.000",606043,8503,368222
Russia,"Jun 26, 2020 @ 00:00:00.000",613148,8594,374557
Russia,"Jun 27, 2020 @ 00:00:00.000",619936,8770,383524
Russia,"Jun 28, 2020 @ 00:00:00.000",626779,8958,392703
Russia,"Jun 29, 2020 @ 00:00:00.000",633563,9060,398436
Russia,"Jun 30, 2020 @ 00:00:00.000",640246,9152,402778
Russia,"Jul 1, 2020 @ 00:00:00.000",646929,9306,411973
Russia,"Jul 2, 2020 @ 00:00:00.000",653479,9521,422235
Russia,"Jul 3, 2020 @ 00:00:00.000",660231,9668,428276
Russia,"Jul 4, 2020 @ 00:00:00.000",666941,9844,437155
Russia,"Jul 5, 2020 @ 00:00:00.000",673564,10011,446127
Russia,"Jul 6, 2020 @ 00:00:00.000",680283,10145,449995
Russia,"Jul 7, 2020 @ 00:00:00.000",686852,10280,453570
Russia,"Jul 8, 2020 @ 00:00:00.000",693215,10478,463103
Russia,"Jul 9, 2020 @ 00:00:00.000",699749,10650,471718
Russia,"Jul 10, 2020 @ 00:00:00.000",706240,10826,480494
Russia,"Jul 11, 2020 @ 00:00:00.000",712863,11000,488234
Russia,"Jul 12, 2020 @ 00:00:00.000",719449,11188,496594
Russia,"Jul 13, 2020 @ 00:00:00.000",726036,11318,500208
Russia,"Jul 14, 2020 @ 00:00:00.000",732547,11422,503168
