country,date,confirmed,deaths,recovered
Brazil,"Jul 10, 2020 @ 00:00:00.000",1755779,69184,1171447
Brazil,"Jul 11, 2020 @ 00:00:00.000",1800827,70398,1217361
Brazil,"Jul 12, 2020 @ 00:00:00.000",1839850,71469,1244088
Brazil,"Jul 13, 2020 @ 00:00:00.000",1864681,72100,1264843
Brazil,"Jul 14, 2020 @ 00:00:00.000",1884967,72833,1291251
Brazil,"Jul 15, 2020 @ 00:00:00.000",1926824,74133,1323425
Brazil,"Jul 16, 2020 @ 00:00:00.000",1966748,75366,1350098
Brazil,"Jul 17, 2020 @ 00:00:00.000",2012151,76688,1397531
Brazil,"Jul 18, 2020 @ 00:00:00.000",2046328,77851,1428520
Brazil,"Jul 19, 2020 @ 00:00:00.000",2074860,78772,1447408
Brazil,"Jul 20, 2020 @ 00:00:00.000",2098389,79488,1459072
Brazil,"Jul 21, 2020 @ 00:00:00.000",2118646,80120,1514300
Brazil,"Jul 22, 2020 @ 00:00:00.000",2159654,81487,1555339
Brazil,"Jul 23, 2020 @ 00:00:00.000",2227514,82771,1591975
Brazil,"Jul 24, 2020 @ 00:00:00.000",2287475,84082,1620313
Brazil,"Jul 25, 2020 @ 00:00:00.000",2343366,85238,1693214
Brazil,"Jul 26, 2020 @ 00:00:00.000",2394513,86449,1785359
Brazil,"Jul 27, 2020 @ 00:00:00.000",2419091,87004,1812913
Brazil,"Jul 28, 2020 @ 00:00:00.000",2442375,87618,1846641
Brazil,"Jul 29, 2020 @ 00:00:00.000",2483191,88539,1868749
Brazil,"Jul 30, 2020 @ 00:00:00.000",2552265,90134,1922802
Brazil,"Jul 31, 2020 @ 00:00:00.000",2610102,91263,1956807
Brazil,"Aug 1, 2020 @ 00:00:00.000",2662485,92475,2008854
Brazil,"Aug 2, 2020 @ 00:00:00.000",2707877,93563,2037982
Brazil,"Aug 3, 2020 @ 00:00:00.000",2733677,94104,2062876
Brazil,"Aug 4, 2020 @ 00:00:00.000",2750318,94665,2098976
Brazil,"Aug 5, 2020 @ 00:00:00.000",2801921,95819,2157484
Brazil,"Aug 6, 2020 @ 00:00:00.000",2859073,97256,2190361
Brazil,"Aug 7, 2020 @ 00:00:00.000",2912212,98493,2230542
Brazil,"Aug 8, 2020 @ 00:00:00.000",2962442,99572,2272299
Brazil,"Aug 9, 2020 @ 00:00:00.000",3012412,100477,2321537
Brazil,"Aug 10, 2020 @ 00:00:00.000",3035422,101049,2356983
Brazil,"Aug 11, 2020 @ 00:00:00.000",3057470,101752,2390830
Brazil,"Aug 12, 2020 @ 00:00:00.000",3109630,103026,2449338
Brazil,"Aug 13, 2020 @ 00:00:00.000",3164785,104201,2506228
Brazil,"Aug 14, 2020 @ 00:00:00.000",3224876,105463,2521100
