country,date,confirmed,deaths,recovered
Germany,"Apr 28, 2020 @ 00:00:00.000",158758,6126,114500
Germany,"Apr 29, 2020 @ 00:00:00.000",159912,6314,117400
Germany,"Apr 30, 2020 @ 00:00:00.000",161539,6467,120400
Germany,"May 1, 2020 @ 00:00:00.000",163009,6623,123500
Germany,"May 2, 2020 @ 00:00:00.000",164077,6736,126900
Germany,"May 3, 2020 @ 00:00:00.000",164967,6812,129000
Germany,"May 4, 2020 @ 00:00:00.000",165664,6866,130600
Germany,"May 5, 2020 @ 00:00:00.000",166152,6993,132700
Germany,"May 6, 2020 @ 00:00:00.000",167007,6993,135100
Germany,"May 7, 2020 @ 00:00:00.000",168162,7275,139900
Germany,"May 8, 2020 @ 00:00:00.000",169430,7392,141700
Germany,"May 9, 2020 @ 00:00:00.000",170588,7510,141700
Germany,"May 10, 2020 @ 00:00:00.000",171324,7549,143300
Germany,"May 11, 2020 @ 00:00:00.000",171879,7569,144400
Germany,"May 12, 2020 @ 00:00:00.000",172576,7661,145617
Germany,"May 13, 2020 @ 00:00:00.000",173171,7738,147200
Germany,"May 14, 2020 @ 00:00:00.000",174098,7861,148700
Germany,"May 15, 2020 @ 00:00:00.000",174478,7884,150300
Germany,"May 16, 2020 @ 00:00:00.000",175233,7897,151597
Germany,"May 17, 2020 @ 00:00:00.000",175752,7938,152600
Germany,"May 18, 2020 @ 00:00:00.000",176369,7962,154011
Germany,"May 19, 2020 @ 00:00:00.000",176551,8003,155041
Germany,"May 20, 2020 @ 00:00:00.000",177778,8081,155681
Germany,"May 21, 2020 @ 00:00:00.000",178473,8144,156966
Germany,"May 22, 2020 @ 00:00:00.000",179021,8203,158087
Germany,"May 23, 2020 @ 00:00:00.000",179710,8228,159064
Germany,"May 24, 2020 @ 00:00:00.000",179986,8261,159716
Germany,"May 25, 2020 @ 00:00:00.000",180328,8283,160281
Germany,"May 26, 2020 @ 00:00:00.000",180600,8309,161199
Germany,"May 27, 2020 @ 00:00:00.000",181200,8372,161967
Germany,"May 28, 2020 @ 00:00:00.000",181524,8428,162820
Germany,"May 29, 2020 @ 00:00:00.000",182196,8470,163360
Germany,"May 30, 2020 @ 00:00:00.000",182922,8504,164245
Germany,"May 31, 2020 @ 00:00:00.000",183189,8530,164908
Germany,"Jun 1, 2020 @ 00:00:00.000",183410,8540,165352
Germany,"Jun 2, 2020 @ 00:00:00.000",183594,8555,165632
Germany,"Jun 3, 2020 @ 00:00:00.000",183879,8563,166609
Germany,"Jun 4, 2020 @ 00:00:00.000",184121,8602,167453
Germany,"Jun 5, 2020 @ 00:00:00.000",184472,8635,167909
Germany,"Jun 6, 2020 @ 00:00:00.000",184924,8658,168480
Germany,"Jun 7, 2020 @ 00:00:00.000",185450,8673,168958
Germany,"Jun 8, 2020 @ 00:00:00.000",185750,8685,169224
Germany,"Jun 9, 2020 @ 00:00:00.000",186109,8695,169556
Germany,"Jun 10, 2020 @ 00:00:00.000",186506,8736,170129
Germany,"Jun 11, 2020 @ 00:00:00.000",186522,8752,170630
Germany,"Jun 12, 2020 @ 00:00:00.000",186691,8772,170961
Germany,"Jun 13, 2020 @ 00:00:00.000",187226,8783,171535
Germany,"Jun 14, 2020 @ 00:00:00.000",187267,8793,171970
Germany,"Jun 15, 2020 @ 00:00:00.000",187518,8801,172089
Germany,"Jun 16, 2020 @ 00:00:00.000",187682,8807,172692
Germany,"Jun 17, 2020 @ 00:00:00.000",188252,8820,172842
